;path;paper_ref;task_name;task_type;split;num_actions;num_participants;num_choices;num_characters
16;hilbig2014generalized/;Hilbig & Moshagen (2014);Multi-attribute decision-making;Decision-making;train;2.0;79.0;7584.0;610354.0
17;jansen2021dunningkruger/;Jansen, Rafferty & Griffiths (2021);Grammar judgement;Miscellaneous;train;7.5;3515.0;98420.0;33701314.0
18;kool2017cost/;Kool, Gershman & Cushman (2017);Two-step task;Markov decision processes;train;2.0;202.0;59344.0;7997397.0
19;kool2016when/;Kool, Cushman & Gershman (2016);Two-step task;Markov decision processes;train;2.0;405.0;73635.0;7385364.0
20;krueger2022identifying/;Krueger, Callaway, ... & Griffiths (2022);Risky choice;Decision-making;train;2.0;1958.0;559904.0;30357596.0
21;kumar2023disentangling/;Kumar, Dasgupta, ... & Griffiths (2023);Tile-revealing task;Markov decision processes;train;49.0;799.0;365565.0;42257720.0
22;lefebvre2017behavioural/;Lefebvre, Lebreton, ... & Palminteri (2017);Probabilistic instrumental learning;Multi-armed bandits;train;2.0;85.0;8160.0;840154.0
23;levering2020revisiting/;Levering, Conaway & Kurtz (2020);Medin categorization;Supervised learning;train;2.0;270.0;44820.0;2475360.0
24;ludwig2023human/;Ludwig & Schulz (2023);Zoopermarket;Markov decision processes;train;2.0;103.0;36962.0;4441778.0
25;peterson2021using/;Peterson, Bourgin, ... & Griffiths (2021);choices13k;Decision-making;train;2.0;15200.0;1214295.0;200100060.0
26;plonsky2018when/;Plonsky, Apel, ... & Tennenholtz (2018);CPC18;Decision-making;train;2.0;240.0;180000.0;15179730.0
27;popov2023intent/;Popov & Dames (2023);Episodic long-term memory;Memory;train;36.0;145.0;20541.0;2853461.0
28;ruggeri2022globalizability/;Ruggeri, Panin, ... & Toscano (2022);Intertemporal choice;Decision-making;train;2.0;13232.0;157657.0;21038709.0
29;sadeghiyeh2020temporal/;Sadeghiyeh, Wang, ... & Wilson (2020);Horizon task;Multi-armed bandits;train;2.0;91.0;29639.0;3051295.0
30;schulz2020finding/;Schulz, Franklin & Gershman (2018);Structured bandit;Multi-armed bandits;train;8.0;604.0;181200.0;8814825.0
31;somerville2017charting/;Somerville, Sasse, ... & Wilson (2017);Horizon task;Multi-armed bandits;train;2.0;92.0;51520.0;5288426.0
32;speekenbrink2008learning/;Speekenbrink, Channon & Shanks (2008);Weather prediction task;Supervised learning;train;2.0;25.0;5000.0;523380.0
33;steingroever2015data/;Steingroever, Fridberg, ... & Wagenmakers (2015);Iowa gambling task;Multi-armed bandits;train;4.0;577.0;62525.0;3079520.0
34;tomov2020discovery/;Tomov, Yagati, ... & Gershman (2020);Virtual subway network;Markov decision processes;train;36.0;878.0;252500.0;39027240.0
35;tomov2021multitask/;Tomov, Schulz & Gershman (2021);Multi-task reinforcement learning;Markov decision processes;train;3.0;419.0;84638.0;11371935.0
36;waltz2020differential/;Waltz, Wilson, ... & Gold (2020);Horizon task;Multi-armed bandits;train;2.0;38.0;16140.0;1649184.0
37;wilson2014humans/;Wilson, Geana, ... & Cohen (2014);Horizon task;Multi-armed bandits;train;2.0;249.0;156590.0;16059150.0
38;wise2019acomputational/;Wise, Michely, Dayan & Dolan (2019);Aversive learning;Supervised learning;train;100.0;63.0;20160.0;3016694.0
39;wu2018generalisation/;Wu, Schulz, ... & Meder (2018);Spatially correlated multi-armed bandit;Multi-armed bandits;train;30.0;81.0;9720.0;593478.0
40;wu2023chunking/;Wu, Éltető, ... & Schulz (2023);Serial reaction time task;Miscellaneous;train;36.0;258.0;258000.0;18977339.0
41;wulff2018description/;Wulff, Mergenthaler-Canseco & Hertwig (2018);Decisions from description;Decision-making;train;2.0;2208.0;31353.0;6756091.0
42;wulff2018sampling/;Wulff, Mergenthaler-Canseco & Hertwig (2018);Decisions from experience;Multi-armed bandits;train;2.0;4353.0;1123834.0;47933722.0
43;xiong2023neural/;Xiong, Li, Mattar & Wilson (2023);Changing bandit;Multi-armed bandits;train;2.0;33.0;155400.0;5157928.0
44;zhu2020bayesian/;Zhu, Sanborn & Chater (2020);Probabilistic reasoning;Miscellaneous;train;36.0;143.0;22200.0;2878793.0
45;zorowitz2023data/;Zorowitz & Niv (2023);Two-step task;Markov decision processes;train;2.0;149.0;59898.0;5714054.0
46;bavard2023functional/;Bavard & Palminteri (2023);Three-armed bandit (*);Multi-armed bandits;validation;3.0;99.0;36936.0;3734337.0
47;binz2022heuristics/;Binz, Gershman, Schulz & Endres (2022);Paired comparison (*);Supervised learning;validation;2.0;79.0;23700.0;4192700.0
48;jagadish2023zero/;Jagadish, Binz, ... & Schulz (2023);Compositional bandit (*);Multi-armed bandits;validation;6.0;359.0;72300.0;3970069.0
49;russek2024heuristics/;Russek, Moran, Liu, Dolan & Huys (2024);Risky choice (*);Decision-making;validation;2.0;21.0;6037.0;2133155.0
50;xu2021novelty/;Xu, Modirshanechi, ... & Herzog (2021);Deep sequential decision task (*);Markov decision processes;validation;3.0;12.0;3047.0;238769.0
51;dubois2022value/;Dubois & Hauser (2022);Maggie's farm;Multi-armed bandits;test;3.0;658.0;921200.0;140401511.0
52;feher2020humans/;Feher da Silva & Hare (2020);Two-step task;Markov decision processes;test;2.0;24.0;9702.0;819318.0
53;feher2023rethinking/;Feher da Silva, Lombardi, Edelson & Hare (2023);Two-step task;Markov decision processes;test;2.0;94.0;28153.0;2466628.0
54;jansen2021logic/;Jansen, Rafferty & Griffiths (2021);Dunning–Kruger effect;Miscellaneous;test;7.5;3543.0;99204.0;48049287.0
