,participant,question,choice,task,trial
290,10,absAssess0,15,0,0
291,10,relAssess0,75,0,1
292,10,diffOther0,6,0,2
293,10,diffSelf0,3,0,3
294,10,Q1,he or she is expected to master the printed form of language.,0,4
295,10,Q2,man and found,0,5
296,10,Q3,"poetry, along with all the other arts, are",0,6
297,10,Q4,it difficult to choose,0,7
298,10,Q5,to accept responsibility for one's own decisions.,0,8
299,10,Q6,are native to shores,0,9
300,10,Q7,than a long period of continuous study.,0,10
301,10,Q8,those in Crime and Punishment exhibit,0,11
302,10,Q9,portrays the feelings of many Spaniards,0,12
303,10,Q10,and finally succeeded,0,13
304,10,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
305,10,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
306,10,Q13,he was designated by the city council,0,16
307,10,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
308,10,Q15,If the room had been brighter,0,18
309,10,Q16,two students due to the use of their notes.,0,19
310,10,Q17,through which gas is exchanged,0,20
311,10,Q18,who tends to resist any attempt at,0,21
312,10,Q19,The amount of water in living cells varies,0,22
313,10,Q20,The belief of ancient scientists were,0,23
314,10,score,11,0,24
315,10,absAssess1,12,0,25
316,10,relAssess1,60,0,26
317,10,diffOther1,6,0,27
318,10,diffSelf1,5,0,28
319,11,absAssess0,15,0,0
320,11,relAssess0,70,0,1
321,11,diffOther0,7,0,2
322,11,diffSelf0,3,0,3
323,11,Q1,he or she is expected to master the printed form of language.,0,4
324,11,Q2,man and found,0,5
325,11,Q3,"poetry, along with all the other arts, is",0,6
326,11,Q4,it difficult to choose,0,7
327,11,Q5,to accept responsibility for one's own decisions.,0,8
328,11,Q6,are native to shores,0,9
329,11,Q7,"than studying for a long, continuous period.",0,10
330,11,Q8,those in Crime and Punishment exhibit,0,11
331,11,Q9,feelings portrayed by Spaniards,0,12
332,11,Q10,and finally succeeded,0,13
333,11,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
334,11,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
335,11,Q13,he was designated by the city council,0,16
336,11,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,17
337,11,Q15,If the room was brighter,0,18
338,11,Q16,two students because they used notes anyway.,0,19
339,11,Q17,through which exchange of gases occurs,0,20
340,11,Q18,who tends to resist any attempt at,0,21
341,11,Q19,The amount of water in living cells varies,0,22
342,11,Q20,The ancient scientists believe,0,23
343,11,score,15,0,24
344,11,absAssess1,13,0,25
345,11,relAssess1,70,0,26
346,11,diffOther1,7,0,27
347,11,diffSelf1,6,0,28
348,12,absAssess0,18,0,0
349,12,relAssess0,90,0,1
350,12,diffOther0,8,0,2
351,12,diffSelf0,3,0,3
352,12,Q1,he or she faces expectations of mastering the printed form of language.,0,4
353,12,Q2,man and found,0,5
354,12,Q3,"poetry, along with all the other arts, are",0,6
355,12,Q4,it difficult to choose,0,7
356,12,Q5,to accept responsibility for one's own decisions.,0,8
357,12,Q6,are native to shores,0,9
358,12,Q7,"than a period of long, continuous study.",0,10
359,12,Q8,those in Crime and Punishment exhibit,0,11
360,12,Q9,feelings portrayed by Spaniards,0,12
361,12,Q10,and finally succeeded,0,13
362,12,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
363,12,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
364,12,Q13,he was designated by the city council,0,16
365,12,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
366,12,Q15,If the room had been brighter,0,18
367,12,Q16,two students due to the use of their notes.,0,19
368,12,Q17,through which gas is exchanged,0,20
369,12,Q18,who tend to resist any attempt at,0,21
370,12,Q19,The amount of water in living cells varies,0,22
371,12,Q20,The belief of ancient scientists was,0,23
372,12,score,12,0,24
373,12,absAssess1,15,0,25
374,12,relAssess1,75,0,26
375,12,diffOther1,8,0,27
376,12,diffSelf1,6,0,28
377,13,absAssess0,18,0,0
378,13,relAssess0,86,0,1
379,13,diffOther0,7,0,2
380,13,diffSelf0,1,0,3
381,13,Q1,he or she is expected to master the printed form of language.,0,4
382,13,Q2,man and found,0,5
383,13,Q3,"poetry, along with all the other arts, is",0,6
384,13,Q4,it difficult to choose,0,7
385,13,Q5,to accept responsibility for one's own decisions.,0,8
386,13,Q6,are native to shores,0,9
387,13,Q7,than a long period of continuous study.,0,10
388,13,Q8,those in Crime and Punishment exhibit,0,11
389,13,Q9,feelings,0,12
390,13,Q10,and finally succeeded,0,13
391,13,Q11,had lain on the hay besides its mother and had begun to nurse as soon as the boy had set,0,14
392,13,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
393,13,Q13,the city council designated him,0,16
394,13,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
395,13,Q15,If the room had been brighter,0,18
396,13,Q16,two students because they used notes anyway.,0,19
397,13,Q17,through which exchange of gases occurs,0,20
398,13,Q18,who tend to resist any attempt at,0,21
399,13,Q19,The amount of water in living cells varies,0,22
400,13,Q20,The belief of ancient scientists was,0,23
401,13,score,16,0,24
402,13,absAssess1,17,0,25
403,13,relAssess1,70,0,26
404,13,diffOther1,7,0,27
405,13,diffSelf1,2,0,28
406,14,absAssess0,10,0,0
407,14,relAssess0,51,0,1
408,14,diffOther0,8,0,2
409,14,diffSelf0,6,0,3
410,14,Q1,he or she is expected to master the printed form of language.,0,4
411,14,Q2,man and found,0,5
412,14,Q3,"poetry, along with all the other arts, is",0,6
413,14,Q4,it difficult to choose,0,7
414,14,Q5,accepting responsibility for one's own decisions.,0,8
415,14,Q6,are native to shores,0,9
416,14,Q7,"than a long, continuous period of study.",0,10
417,14,Q8,those in Crime and Punishment exhibit,0,11
418,14,Q9,portrayal of the feelings of many Spaniards,0,12
419,14,Q10,and finally succeeded,0,13
420,14,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
421,14,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
422,14,Q13,the city council designated him,0,16
423,14,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
424,14,Q15,If the room was brighter,0,18
425,14,Q16,two students due to the use of their notes.,0,19
426,14,Q17,through which exchange of gases occurs,0,20
427,14,Q18,who tends to resist any attempt at,0,21
428,14,Q19,The amount of water in living cells varies,0,22
429,14,Q20,The ancient scientists beliefs were,0,23
430,14,score,11,0,24
431,14,absAssess1,10,0,25
432,14,relAssess1,51,0,26
433,14,diffOther1,8,0,27
434,14,diffSelf1,8,0,28
435,15,absAssess0,19,0,0
436,15,relAssess0,85,0,1
437,15,diffOther0,5,0,2
438,15,diffSelf0,1,0,3
439,15,Q1,mastery of the printed form of language is expected of him or her.,0,4
440,15,Q2,man and found,0,5
441,15,Q3,poetry along with all the other arts is,0,6
442,15,Q4,it difficult to choose,0,7
443,15,Q5,to accept responsibility for one's own decisions.,0,8
444,15,Q6,are native to shores,0,9
445,15,Q7,"than studying for a long, continuous period.",0,10
446,15,Q8,those in Crime and Punishment exhibit,0,11
447,15,Q9,feelings portrayed by Spaniards,0,12
448,15,Q10,and finally succeeded,0,13
449,15,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
450,15,Q12,"whether lying alone in the crib or enjoying the company of adults, is constantly fascinated at",0,15
451,15,Q13,the city council designated him,0,16
452,15,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
453,15,Q15,If the room had been brighter,0,18
454,15,Q16,two students because they used notes anyway.,0,19
455,15,Q17,through which gas is exchanged,0,20
456,15,Q18,who tends to resist any attempt at,0,21
457,15,Q19,The amounts of water varies in living cells,0,22
458,15,Q20,The belief of ancient scientists were,0,23
459,15,score,9,0,24
460,15,absAssess1,19,0,25
461,15,relAssess1,80,0,26
462,15,diffOther1,5,0,27
463,15,diffSelf1,2,0,28
464,16,absAssess0,12,0,0
465,16,relAssess0,70,0,1
466,16,diffOther0,5,0,2
467,16,diffSelf0,5,0,3
468,16,Q1,mastery of the printed form of language is expected of him or her.,0,4
469,16,Q2,man and found,0,5
470,16,Q3,"poetry, along with all the other arts, are",0,6
471,16,Q4,it difficult to choose,0,7
472,16,Q5,to accept responsibility for one's own decisions.,0,8
473,16,Q6,are native to shores,0,9
474,16,Q7,than a long period of continuous study.,0,10
475,16,Q8,those in Crime and Punishment exhibit,0,11
476,16,Q9,portrayal of the feelings of many Spaniards,0,12
477,16,Q10,and finally succeeded,0,13
478,16,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
479,16,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
480,16,Q13,he was designated by the city council,0,16
481,16,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,17
482,16,Q15,If the room had been brighter,0,18
483,16,Q16,two students because they used notes anyway.,0,19
484,16,Q17,through which gas is exchanged,0,20
485,16,Q18,who tends to resist any attempt at,0,21
486,16,Q19,The amounts of water varies in living cells,0,22
487,16,Q20,The ancient scientists believe,0,23
488,16,score,11,0,24
489,16,absAssess1,10,0,25
490,16,relAssess1,55,0,26
491,16,diffOther1,6,0,27
492,16,diffSelf1,6,0,28
493,17,absAssess0,17,0,0
494,17,relAssess0,81,0,1
495,17,diffOther0,6,0,2
496,17,diffSelf0,3,0,3
497,17,Q1,he or she faces expectations of mastering the printed form of language.,0,4
498,17,Q2,man and found,0,5
499,17,Q3,"poetry, along with all the other arts, is",0,6
500,17,Q4,it difficult to choose,0,7
501,17,Q5,to accept responsibility for one's own decisions.,0,8
502,17,Q6,are native to shores,0,9
503,17,Q7,than a long period of continuous study.,0,10
504,17,Q8,those in Crime and Punishment exhibit,0,11
505,17,Q9,portrayal of the feelings of many Spaniards,0,12
506,17,Q10,and finally succeeded,0,13
507,17,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had sat,0,14
508,17,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
509,17,Q13,the city council designated him,0,16
510,17,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
511,17,Q15,If the room had been brighter,0,18
512,17,Q16,two students due to the use of their notes.,0,19
513,17,Q17,through which exchange of gases occurs,0,20
514,17,Q18,who tends to resist any attempt at,0,21
515,17,Q19,The amount of water in living cells varies,0,22
516,17,Q20,The ancient scientists beliefs were,0,23
517,17,score,11,0,24
518,17,absAssess1,15,0,25
519,17,relAssess1,69,0,26
520,17,diffOther1,8,0,27
521,17,diffSelf1,7,0,28
522,18,absAssess0,12,0,0
523,18,relAssess0,73,0,1
524,18,diffOther0,6,0,2
525,18,diffSelf0,4,0,3
526,18,Q1,he or she is expected to master the printed form of language.,0,4
527,18,Q2,man and had found,0,5
528,18,Q3,"poetry, along with all the other arts, is",0,6
529,18,Q4,it difficult to choose,0,7
530,18,Q5,to accept responsibility for one's own decisions.,0,8
531,18,Q6,are native to shores,0,9
532,18,Q7,"than studying for a long, continuous period.",0,10
533,18,Q8,those in Crime and Punishment exhibit,0,11
534,18,Q9,feelings portrayed by Spaniards,0,12
535,18,Q10,and finally succeeded,0,13
536,18,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
537,18,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
538,18,Q13,the city council designated him,0,16
539,18,Q14,"""Bob, have you checked with our office in Canton, Ohio, to see if it stocks slate, flagstone, and feather rock?""",0,17
540,18,Q15,If the room had been brighter,0,18
541,18,Q16,two students due to the use of their notes.,0,19
542,18,Q17,through which gas is exchanged,0,20
543,18,Q18,who tends to resist any attempt at,0,21
544,18,Q19,The amount of water in living cells varies,0,22
545,18,Q20,The belief of ancient scientists was,0,23
546,18,score,13,0,24
547,18,absAssess1,11,0,25
548,18,relAssess1,70,0,26
549,18,diffOther1,9,0,27
550,18,diffSelf1,7,0,28
551,19,absAssess0,10,0,0
552,19,relAssess0,50,0,1
553,19,diffOther0,5,0,2
554,19,diffSelf0,5,0,3
555,19,Q1,he or she is expected to master the printed form of language.,0,4
556,19,Q2,man and had found,0,5
557,19,Q3,"poetry, along with all the other arts, is",0,6
558,19,Q4,it difficult to choose,0,7
559,19,Q5,accepting responsibility for one's own decisions.,0,8
560,19,Q6,are native to shores,0,9
561,19,Q7,"than a long, continuous period of study.",0,10
562,19,Q8,those in Crime and Punishment exhibit,0,11
563,19,Q9,portrays the feelings of many Spaniards,0,12
564,19,Q10,and finally succeeded,0,13
565,19,Q11,had laid on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
566,19,Q12,"whether lying alone in the crib or enjoying the company of adults, is consistently fascinated by",0,15
567,19,Q13,he was designated by the city council,0,16
568,19,Q14,"""Bob, have you checked with our office in Canton, Ohio to see if it stocks slate, flagstone, and feather rock?""",0,17
569,19,Q15,If the room was brighter,0,18
570,19,Q16,two students because they used notes anyway.,0,19
571,19,Q17,through which exchange of gases occurs,0,20
572,19,Q18,who tends to resist any attempt at,0,21
573,19,Q19,The amount of water in living cells varies,0,22
574,19,Q20,The belief of ancient scientists was,0,23
575,19,score,12,0,24
576,19,absAssess1,8,0,25
577,19,relAssess1,20,0,26
578,19,diffOther1,8,0,27
579,19,diffSelf1,8,0,28
580,20,absAssess0,18,0,0
581,20,relAssess0,86,0,1
582,20,diffOther0,6,0,2
583,20,diffSelf0,2,0,3
584,20,Q1,he or she is expected to master the printed form of language.,0,4
585,20,Q2,man and found,0,5
586,20,Q3,"poetry, along with all the other arts, is",0,6
587,20,Q4,it difficult to choose,0,7
588,20,Q5,to accept responsibility for one's own decisions.,0,8
589,20,Q6,are native to shores,0,9
590,20,Q7,"than a period of long, continuous study.",0,10
591,20,Q8,those in Crime and Punishment exhibit,0,11
592,20,Q9,feelings portrayed by Spaniards,0,12
593,20,Q10,and finally succeeded,0,13
594,20,Q11,had lain on the hay beside its mother and had begun to nurse as soon as the boy had set,0,14
